Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
1,0.5436409115791321,124,94,125,58,0.6813186813186813,0.4292237442922374
2,0.5703125,126,93,113,52,0.7078651685393258,0.45145631067961167
3,0.5561357736587524,110,103,107,63,0.6358381502890174,0.49047619047619045
4,0.6159601211547852,134,113,106,48,0.7362637362637363,0.5159817351598174
5,0.5769230723381042,114,111,96,69,0.6229508196721312,0.5362318840579711
501,0.6284289360046387,65,187,32,117,0.35714285714285715,0.8538812785388128
502,0.7135416865348816,97,177,29,81,0.5449438202247191,0.8592233009708737
503,0.6971279382705688,84,183,27,89,0.48554913294797686,0.8714285714285714
504,0.6882793307304382,90,186,33,92,0.4945054945054945,0.8493150684931506
505,0.6974359154701233,91,181,26,92,0.4972677595628415,0.8743961352657005
1001,0.6957606077194214,103,176,43,79,0.5659340659340659,0.8036529680365296
1002,0.7526041865348816,118,171,35,60,0.6629213483146067,0.8300970873786407
1003,0.7467362880706787,107,179,31,66,0.6184971098265896,0.8523809523809524
1004,0.7281795740127563,112,180,39,70,0.6153846153846154,0.821917808219178
1005,0.728205144405365,110,174,33,73,0.6010928961748634,0.8405797101449275
1501,0.7206982374191284,117,172,47,65,0.6428571428571429,0.7853881278538812
1502,0.6979166865348816,98,170,36,80,0.550561797752809,0.8252427184466019
1503,0.7597911357879639,120,171,39,53,0.6936416184971098,0.8142857142857143
1504,0.7581047415733337,131,173,46,51,0.7197802197802198,0.7899543378995434
1505,0.728205144405365,112,172,35,71,0.6120218579234973,0.8309178743961353
2001,0.7107232213020325,107,178,41,75,0.5879120879120879,0.8127853881278538
2002,0.7473958134651184,118,169,37,60,0.6629213483146067,0.8203883495145631
2003,0.770235002040863,124,171,39,49,0.7167630057803468,0.8142857142857143
2004,0.7331671118736267,116,178,41,66,0.6373626373626373,0.8127853881278538
2005,0.807692289352417,137,178,29,46,0.7486338797814208,0.8599033816425121
2501,0.7431421279907227,118,180,39,64,0.6483516483516484,0.821917808219178
2502,0.7239583134651184,103,175,31,75,0.5786516853932584,0.8495145631067961
2503,0.767624020576477,117,177,33,56,0.6763005780346821,0.8428571428571429
2504,0.7830423712730408,134,180,39,48,0.7362637362637363,0.821917808219178
2505,0.7871794700622559,134,173,34,49,0.73224043715847,0.8357487922705314
3001,0.7132169604301453,113,173,46,69,0.6208791208791209,0.7899543378995434
3002,0.6875,96,168,38,82,0.5393258426966292,0.8155339805825242
3003,0.770235002040863,121,174,36,52,0.6994219653179191,0.8285714285714286
3004,0.7157106995582581,113,174,45,69,0.6208791208791209,0.7945205479452054
3005,0.7794871926307678,130,174,33,53,0.7103825136612022,0.8405797101449275
3501,0.7605984807014465,134,171,48,48,0.7362637362637363,0.7808219178082192
3502,0.7473958134651184,116,171,35,62,0.651685393258427,0.8300970873786407
3503,0.7545691728591919,122,167,43,51,0.7052023121387283,0.7952380952380952
3504,0.7556109428405762,120,183,36,62,0.6593406593406593,0.8356164383561644
3505,0.7743589878082275,132,170,37,51,0.7213114754098361,0.821256038647343
4001,0.7356608510017395,122,173,46,60,0.6703296703296703,0.7899543378995434
4002,0.7473958134651184,118,169,37,60,0.6629213483146067,0.8203883495145631
4003,0.7415143847465515,111,173,37,62,0.6416184971098265,0.8238095238095238
4004,0.7855361700057983,133,182,37,49,0.7307692307692307,0.8310502283105022
4005,0.7615384459495544,117,180,27,66,0.639344262295082,0.8695652173913043
4501,0.7132169604301453,109,177,42,73,0.5989010989010989,0.8082191780821918
4502,0.7890625,129,174,32,49,0.7247191011235955,0.8446601941747572
4503,0.8146213889122009,135,177,33,38,0.7803468208092486,0.8428571428571429
4504,0.8004987239837646,142,179,40,40,0.7802197802197802,0.817351598173516
4505,0.7974358797073364,135,176,31,48,0.7377049180327869,0.8502415458937198
5001,0.7755610942840576,134,177,42,48,0.7362637362637363,0.8082191780821918
5002,0.7395833134651184,114,170,36,64,0.6404494382022472,0.8252427184466019
5003,0.7911227345466614,128,175,35,45,0.7398843930635838,0.8333333333333334
5004,0.780548632144928,133,180,39,49,0.7307692307692307,0.821917808219178
5005,0.7666666507720947,127,172,35,56,0.6939890710382514,0.8309178743961353
5501,0.7356608510017395,122,173,46,60,0.6703296703296703,0.7899543378995434
5502,0.8072916865348816,140,170,36,38,0.7865168539325843,0.8252427184466019
5503,0.7571801543235779,116,174,36,57,0.6705202312138728,0.8285714285714286
5504,0.780548632144928,135,178,41,47,0.7417582417582418,0.8127853881278538
5505,0.7769230604171753,123,180,27,60,0.6721311475409836,0.8695652173913043
6001,0.7556109428405762,125,178,41,57,0.6868131868131868,0.8127853881278538
6002,0.7421875,114,171,35,64,0.6404494382022472,0.8300970873786407
6003,0.8250652551651001,138,178,32,35,0.7976878612716763,0.8476190476190476
6004,0.7730673551559448,133,177,42,49,0.7307692307692307,0.8082191780821918
6005,0.7564102411270142,121,174,33,62,0.6612021857923497,0.8405797101449275
6501,0.7506234645843506,129,172,47,53,0.7087912087912088,0.7853881278538812
6502,0.75,119,169,37,59,0.6685393258426966,0.8203883495145631
6503,0.8093994855880737,139,171,39,34,0.8034682080924855,0.8142857142857143
6504,0.8029925227165222,139,183,36,43,0.7637362637362637,0.8356164383561644
6505,0.7923076748847961,132,177,30,51,0.7213114754098361,0.855072463768116
7001,0.7182044982910156,121,167,52,61,0.6648351648351648,0.7625570776255708
7002,0.7838541865348816,131,170,36,47,0.7359550561797753,0.8252427184466019
7003,0.7389034032821655,107,176,34,66,0.6184971098265896,0.8380952380952381
7004,0.7680798172950745,130,178,41,52,0.7142857142857143,0.8127853881278538
7005,0.7769230604171753,130,173,34,53,0.7103825136612022,0.8357487922705314
7501,0.7506234645843506,133,168,51,49,0.7307692307692307,0.7671232876712328
7502,0.7916666865348816,134,170,36,44,0.7528089887640449,0.8252427184466019
7503,0.7389034032821655,111,172,38,62,0.6416184971098265,0.819047619047619
7504,0.7855361700057983,138,177,42,44,0.7582417582417582,0.8082191780821918
7505,0.764102578163147,125,173,34,58,0.6830601092896175,0.8357487922705314
8001,0.7356608510017395,128,167,52,54,0.7032967032967034,0.7625570776255708
8002,0.7838541865348816,131,170,36,47,0.7359550561797753,0.8252427184466019
8003,0.7441253066062927,110,175,35,63,0.6358381502890174,0.8333333333333334
8004,0.7705735564231873,130,179,40,52,0.7142857142857143,0.817351598173516
8005,0.7923076748847961,136,173,34,47,0.7431693989071039,0.8357487922705314
8501,0.7730673551559448,135,175,44,47,0.7417582417582418,0.7990867579908676
8502,0.8072916865348816,137,173,33,41,0.7696629213483146,0.8398058252427184
8503,0.7597911357879639,122,169,41,51,0.7052023121387283,0.8047619047619048
8504,0.7855361700057983,138,177,42,44,0.7582417582417582,0.8082191780821918
8505,0.8025640845298767,135,178,29,48,0.7377049180327869,0.8599033816425121
9001,0.7182044982910156,112,176,43,70,0.6153846153846154,0.8036529680365296
9002,0.7447916865348816,120,166,40,58,0.6741573033707865,0.8058252427184466
9003,0.7963446378707886,132,173,37,41,0.7630057803468208,0.8238095238095238
9004,0.7930174469947815,132,186,33,50,0.7252747252747253,0.8493150684931506
9005,0.7820512652397156,131,174,33,52,0.7158469945355191,0.8405797101449275
9501,0.7256857752799988,116,175,44,66,0.6373626373626373,0.7990867579908676
9502,0.7526041865348816,121,168,38,57,0.6797752808988764,0.8155339805825242
9503,0.8198433518409729,141,173,37,32,0.815028901734104,0.8238095238095238
9504,0.7755610942840576,135,176,43,47,0.7417582417582418,0.8036529680365296
9505,0.7435897588729858,111,179,28,72,0.6065573770491803,0.8647342995169082
